iso3,name,income_group,region,cluster
ABW,Aruba,High income,LCN,1
AFG,Afghanistan,Low income,MEA,0
AGO,Angola,Lower-middle income,SSF,0
ALB,Albania,Upper-middle income,ECS,1
AND,Andorra,High income,ECS,1
ARE,United Arab Emirates,High income,MEA,1
ARG,Argentina,Upper-middle income,LCN,1
ARM,Armenia,Upper-middle income,ECS,1
ASM,American Samoa,High income,EAS,1
ATG,Antigua and Barbuda,High income,LCN,1
AUS,Australia,High income,EAS,1
AUT,Austria,High income,ECS,1
AZE,Azerbaijan,Upper-middle income,ECS,1
BDI,Burundi,Low income,SSF,0
BEL,Belgium,High income,ECS,1
BEN,Benin,Lower-middle income,SSF,0
BFA,Burkina Faso,Low income,SSF,0
BGD,Bangladesh,Lower-middle income,SAS,0
BGR,Bulgaria,High income,ECS,1
BHR,Bahrain,High income,MEA,1
BHS,"Bahamas, The",High income,LCN,1
BIH,Bosnia and Herzegovina,Upper-middle income,ECS,1
BLR,Belarus,Upper-middle income,ECS,1
BLZ,Belize,Upper-middle income,LCN,1
BMU,Bermuda,High income,NAC,1
BOL,Bolivia,Lower-middle income,LCN,0
BRA,Brazil,Upper-middle income,LCN,1
BRB,Barbados,High income,LCN,1
BRN,Brunei Darussalam,High income,EAS,1
BTN,Bhutan,Lower-middle income,SAS,0
BWA,Botswana,Upper-middle income,SSF,0
CAF,Central African Republic,Low income,SSF,0
CAN,Canada,High income,NAC,1
CHE,Switzerland,High income,ECS,1
CHI,Channel Islands,High income,ECS,1
CHL,Chile,High income,LCN,1
CHN,China,Upper-middle income,EAS,1
CIV,Cote d'Ivoire,Lower-middle income,SSF,0
CMR,Cameroon,Lower-middle income,SSF,0
COD,"Congo, Dem. Rep.",Low income,SSF,0
COG,"Congo, Rep.",Lower-middle income,SSF,0
COL,Colombia,Upper-middle income,LCN,1
COM,Comoros,Lower-middle income,SSF,0
CPV,Cabo Verde,Upper-middle income,SSF,1
CRI,Costa Rica,High income,LCN,1
CUB,Cuba,Upper-middle income,LCN,1
CUW,Curacao,High income,LCN,1
CYM,Cayman Islands,High income,LCN,1
CYP,Cyprus,High income,ECS,1
CZE,Czechia,High income,ECS,1
DEU,Germany,High income,ECS,1
DJI,Djibouti,Lower-middle income,MEA,0
DMA,Dominica,Upper-middle income,LCN,1
DNK,Denmark,High income,ECS,1
DOM,Dominican Republic,Upper-middle income,LCN,1
DZA,Algeria,Upper-middle income,MEA,1
ECU,Ecuador,Upper-middle income,LCN,1
EGY,"Egypt, Arab Rep.",Lower-middle income,MEA,1
ERI,Eritrea,Low income,SSF,0
ESP,Spain,High income,ECS,1
EST,Estonia,High income,ECS,1
ETH,Ethiopia,Low income,SSF,0
FIN,Finland,High income,ECS,1
FJI,Fiji,Upper-middle income,EAS,1
FRA,France,High income,ECS,1
FRO,Faroe Islands,High income,ECS,1
FSM,"Micronesia, Fed. Sts.",Upper-middle income,EAS,0
GAB,Gabon,Upper-middle income,SSF,0
GBR,United Kingdom,High income,ECS,1
GEO,Georgia,Upper-middle income,ECS,1
GHA,Ghana,Lower-middle income,SSF,0
GIB,Gibraltar,High income,ECS,1
GIN,Guinea,Lower-middle income,SSF,0
GMB,"Gambia, The",Low income,SSF,0
GNB,Guinea-Bissau,Low income,SSF,0
GNQ,Equatorial Guinea,Upper-middle income,SSF,0
GRC,Greece,High income,ECS,1
GRD,Grenada,Upper-middle income,LCN,1
GRL,Greenland,High income,ECS,1
GTM,Guatemala,Upper-middle income,LCN,1
GUM,Guam,High income,EAS,1
GUY,Guyana,High income,LCN,1
HKG,"Hong Kong SAR, China",High income,EAS,1
HND,Honduras,Lower-middle income,LCN,1
HRV,Croatia,High income,ECS,1
HTI,Haiti,Lower-middle income,LCN,0
HUN,Hungary,High income,ECS,1
IDN,Indonesia,Upper-middle income,EAS,1
IMN,Isle of Man,High income,ECS,1
IND,India,Lower-middle income,SAS,0
IRL,Ireland,High income,ECS,1
IRN,"Iran, Islamic Rep.",Upper-middle income,MEA,1
IRQ,Iraq,Upper-middle income,MEA,0
ISL,Iceland,High income,ECS,1
ISR,Israel,High income,MEA,1
ITA,Italy,High income,ECS,1
JAM,Jamaica,Upper-middle income,LCN,1
JOR,Jordan,Upper-middle income,MEA,1
JPN,Japan,High income,EAS,1
KAZ,Kazakhstan,Upper-middle income,ECS,1
