iso3,name,income_group,region,cluster
ABW,Aruba,High income,LCN,2
AFG,Afghanistan,Low income,MEA,1
AGO,Angola,Lower-middle income,SSF,1
ALB,Albania,Upper-middle income,ECS,2
AND,Andorra,High income,ECS,2
ARE,United Arab Emirates,High income,MEA,2
ARG,Argentina,Upper-middle income,LCN,2
ARM,Armenia,Upper-middle income,ECS,2
ASM,American Samoa,High income,EAS,2
ATG,Antigua and Barbuda,High income,LCN,2
AUS,Australia,High income,EAS,2
AUT,Austria,High income,ECS,2
AZE,Azerbaijan,Upper-middle income,ECS,2
BDI,Burundi,Low income,SSF,1
BEL,Belgium,High income,ECS,2
BEN,Benin,Lower-middle income,SSF,1
BFA,Burkina Faso,Low income,SSF,1
BGD,Bangladesh,Lower-middle income,SAS,1
BGR,Bulgaria,High income,ECS,2
BHR,Bahrain,High income,MEA,2
BHS,"Bahamas, The",High income,LCN,2
BIH,Bosnia and Herzegovina,Upper-middle income,ECS,2
BLR,Belarus,Upper-middle income,ECS,2
BLZ,Belize,Upper-middle income,LCN,2
BMU,Bermuda,High income,NAC,2
BOL,Bolivia,Lower-middle income,LCN,1
BRA,Brazil,Upper-middle income,LCN,2
BRB,Barbados,High income,LCN,2
BRN,Brunei Darussalam,High income,EAS,2
BTN,Bhutan,Lower-middle income,SAS,1
BWA,Botswana,Upper-middle income,SSF,1
CAF,Central African Republic,Low income,SSF,0
CAN,Canada,High income,NAC,2
CHE,Switzerland,High income,ECS,2
CHI,Channel Islands,High income,ECS,2
CHL,Chile,High income,LCN,2
CHN,China,Upper-middle income,EAS,2
CIV,Cote d'Ivoire,Lower-middle income,SSF,1
CMR,Cameroon,Lower-middle income,SSF,1
COD,"Congo, Dem. Rep.",Low income,SSF,1
COG,"Congo, Rep.",Lower-middle income,SSF,1
COL,Colombia,Upper-middle income,LCN,2
COM,Comoros,Lower-middle income,SSF,1
CPV,Cabo Verde,Upper-middle income,SSF,2
CRI,Costa Rica,High income,LCN,2
CUB,Cuba,Upper-middle income,LCN,2
CUW,Curacao,High income,LCN,2
CYM,Cayman Islands,High income,LCN,2
CYP,Cyprus,High income,ECS,2
CZE,Czechia,High income,ECS,2
DEU,Germany,High income,ECS,2
DJI,Djibouti,Lower-middle income,MEA,1
DMA,Dominica,Upper-middle income,LCN,2
DNK,Denmark,High income,ECS,2
DOM,Dominican Republic,Upper-middle income,LCN,2
DZA,Algeria,Upper-middle income,MEA,2
ECU,Ecuador,Upper-middle income,LCN,2
EGY,"Egypt, Arab Rep.",Lower-middle income,MEA,2
ERI,Eritrea,Low income,SSF,1
ESP,Spain,High income,ECS,2
EST,Estonia,High income,ECS,2
ETH,Ethiopia,Low income,SSF,1
FIN,Finland,High income,ECS,2
FJI,Fiji,Upper-middle income,EAS,2
FRA,France,High income,ECS,2
FRO,Faroe Islands,High income,ECS,2
FSM,"Micronesia, Fed. Sts.",Upper-middle income,EAS,1
