name,income_group,cluster,gap
"Korea, Dem. People's Rep.",Low income,1,1.0
Syrian Arab Republic,Low income,1,1.0
"Egypt, Arab Rep.",Lower-middle income,1,0.6666666666666667
Honduras,Lower-middle income,1,0.6666666666666667
Kyrgyz Republic,Lower-middle income,1,0.6666666666666667
Lebanon,Lower-middle income,1,0.6666666666666667
Morocco,Lower-middle income,1,0.6666666666666667
Nicaragua,Lower-middle income,1,0.6666666666666667
West Bank and Gaza,Lower-middle income,1,0.6666666666666667
Tajikistan,Lower-middle income,1,0.6666666666666667
