name,income_group,cluster,gap
Botswana,Upper-middle income,0,-0.6666666666666666
"Micronesia, Fed. Sts.",Upper-middle income,0,-0.6666666666666666
Gabon,Upper-middle income,0,-0.6666666666666666
Equatorial Guinea,Upper-middle income,0,-0.6666666666666666
Iraq,Upper-middle income,0,-0.6666666666666666
South Africa,Upper-middle income,0,-0.6666666666666666
Angola,Lower-middle income,0,-0.3333333333333333
Benin,Lower-middle income,0,-0.3333333333333333
Bangladesh,Lower-middle income,0,-0.3333333333333333
Bolivia,Lower-middle income,0,-0.3333333333333333
