,non_missing,pct_present
life_ladder,1525,43.9
healthy_life_expectancy,1891,54.5
corruption_perception,2528,72.8
whr_log_gdp_pc,2560,73.7
generosity,2560,73.7
positive_affect,2576,74.2
social_support,2592,74.7
negative_affect,2592,74.7
freedom,2608,75.1
gini_index,2640,76.0
dtp3_immunization,3088,88.9
measles_immunization,3088,88.9
health_exp_pc,3088,88.9
physicians_per_1000,3104,89.4
infant_mortality,3136,90.3
under5_mortality,3136,90.3
gdp_pc_ppp,3184,91.7
primary_enrollment,3264,94.0
water_access,3424,98.6
sanitation_access,3424,98.6
life_expectancy,3447,99.3
year,3472,100.0
name,3472,100.0
iso3,3472,100.0
income_group,3472,100.0
region,3472,100.0
fertility_rate,3472,100.0
urban_pop_pct,3472,100.0
